[02:41:50] ============================================================
[02:41:50] TLIO ResNet1D  (ResMLP128 과 동일 환경)
[02:41:50] 출력: out_resnet_small
[02:41:50] 디바이스: cuda
[02:41:50] 데이터셋 로딩... (Oxford + TLIO golden 증강)
[02:42:19] Train samples: 1,309,769 | Val samples: 45,112
[02:42:19] ResNet1D (small) 파라미터 수: 460,490
[02:42:19] [two-stage] Stage 1: MSE (epoch 1~30)
[02:42:21] 총 100 epoch
[02:45:09]   Epoch 002 [3400/10232]  reg=0.0670  rmse=0.4549
[02:45:10]   Epoch 002 [3450/10232]  reg=0.0526  rmse=0.4546
[02:45:10]   Epoch 002 [3500/10232]  reg=0.0663  rmse=0.4542
[02:45:10]   Epoch 002 [3550/10232]  reg=0.0619  rmse=0.4540
[02:45:11]   Epoch 002 [3600/10232]  reg=0.0765  rmse=0.4536
[02:45:11]   Epoch 002 [3650/10232]  reg=0.0533  rmse=0.4534
[02:45:12]   Epoch 002 [3700/10232]  reg=0.0628  rmse=0.4533
[02:45:12]   Epoch 002 [3750/10232]  reg=0.0508  rmse=0.4529
[02:45:12]   Epoch 002 [3800/10232]  reg=0.0583  rmse=0.4530
[02:45:13]   Epoch 002 [3850/10232]  reg=0.0848  rmse=0.4528
[02:45:13]   Epoch 002 [3900/10232]  reg=0.0501  rmse=0.4523
[02:45:14]   Epoch 002 [3950/10232]  reg=0.0567  rmse=0.4521
[02:45:14]   Epoch 002 [4000/10232]  reg=0.0577  rmse=0.4518
[02:45:14]   Epoch 002 [4050/10232]  reg=0.0499  rmse=0.4523
[02:45:15]   Epoch 002 [4100/10232]  reg=0.0528  rmse=0.4521
[02:45:15]   Epoch 002 [4150/10232]  reg=0.0546  rmse=0.4520
[02:45:16]   Epoch 002 [4200/10232]  reg=0.0607  rmse=0.4518
[02:45:16]   Epoch 002 [4250/10232]  reg=0.0816  rmse=0.4515
[02:45:16]   Epoch 002 [4300/10232]  reg=0.0574  rmse=0.4514
[02:45:17]   Epoch 002 [4350/10232]  reg=0.0553  rmse=0.4510
[02:45:17]   Epoch 002 [4400/10232]  reg=0.0458  rmse=0.4506
[02:45:18]   Epoch 002 [4450/10232]  reg=0.0551  rmse=0.4503
[02:45:18]   Epoch 002 [4500/10232]  reg=0.0544  rmse=0.4500
[02:45:18]   Epoch 002 [4550/10232]  reg=0.0507  rmse=0.4496
[02:45:19]   Epoch 002 [4600/10232]  reg=0.0376  rmse=0.4495
[02:45:19]   Epoch 002 [4650/10232]  reg=0.0630  rmse=0.4493
[02:45:20]   Epoch 002 [4700/10232]  reg=0.0883  rmse=0.4491
[02:45:20]   Epoch 002 [4750/10232]  reg=0.0988  rmse=0.4488
[02:45:20]   Epoch 002 [4800/10232]  reg=0.0471  rmse=0.4485
[02:45:21]   Epoch 002 [4850/10232]  reg=0.0522  rmse=0.4483
[02:45:21]   Epoch 002 [4900/10232]  reg=0.0569  rmse=0.4481
[02:45:22]   Epoch 002 [4950/10232]  reg=0.0844  rmse=0.4479
[02:45:22]   Epoch 002 [5000/10232]  reg=0.0636  rmse=0.4478
[02:45:22]   Epoch 002 [5050/10232]  reg=0.0410  rmse=0.4476
[02:45:23]   Epoch 002 [5100/10232]  reg=0.0705  rmse=0.4475
[02:45:23]   Epoch 002 [5150/10232]  reg=0.0473  rmse=0.4473
[02:45:23]   Epoch 002 [5200/10232]  reg=0.0582  rmse=0.4470
[02:45:24]   Epoch 002 [5250/10232]  reg=0.0596  rmse=0.4468
[02:45:24]   Epoch 002 [5300/10232]  reg=0.0409  rmse=0.4467
[02:45:25]   Epoch 002 [5350/10232]  reg=0.0817  rmse=0.4465
[02:45:25]   Epoch 002 [5400/10232]  reg=0.0566  rmse=0.4463
